group,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var14,var13,var15,var16,var17,var19,var18
'90,30.29910246,15.44673046,0.07632838,1.330575227,15.1355282,1.914542564,3.341516163,12.02660923,6.122359687,9.724252827,0.644102026,5.814186349,3.189063644,6.079419183,14.63052427,9.753433721,19.40922912,3.902964422,1.584485424
'91,31.74752305,15.31532053,0.064083941,1.353001626,14.72781732,2.000547455,2.569907961,11.65260094,6.500930535,9.931929003,0.681429666,6.32949634,3.345704957,5.694072502,14.43061635,9.980597005,19.00573561,3.874590704,1.713321439
'92,29.05169877,15.33923978,0.067519349,1.352656787,15.01519284,2.07574444,2.057489364,11.07292343,6.264271583,9.603614785,0.693121231,6.77082969,3.327700803,5.000619227,13.50110639,9.9606958,19.02508245,3.804011014,1.694415977
'93,28.59923567,15.4163129,0.076062691,1.37189196,14.7353487,2.243245307,1.862027903,10.92964208,5.913536994,9.364743235,0.703544619,7.390717261,3.394397816,4.547670648,12.27135261,11.27820343,19.2381088,3.769327631,1.539740958
'94,29.76407103,15.60739289,0.070000866,1.396952923,15.1313782,2.31902906,1.993825507,10.75427021,5.806442913,9.252278701,0.727526089,7.912585453,3.615716848,4.113452886,10.8678168,11.47687894,19.28061081,3.732384777,1.417186242
'95,30.07744196,15.99214254,0.077892803,1.490557743,15.340087,2.560366185,2.119716987,10.68940786,5.916505458,9.036517846,0.768837675,8.522610532,3.343977725,3.815701001,10.54686908,11.03133319,19.25393761,3.781982439,1.35661892
'96,29.85678902,16.36120365,0.172292933,1.597062891,15.64189767,2.517251858,2.288083728,11.02059284,6.15800738,9.363736624,0.790663149,8.981501705,3.500701498,3.346835235,10.35622748,10.8589524,19.61109008,3.806694025,1.287559412
'97,30.49007603,16.56693849,0.197400553,1.683581162,16.00116472,2.543462797,2.493236868,10.61623004,5.989176224,8.956743523,0.82074131,9.367714115,3.691219525,3.023022384,9.647814739,10.40558603,20.34787297,3.813515227,1.186792976
'98,29.80576664,17.51162418,0.200918817,1.712516222,16.14184074,2.602487248,2.441409346,10.52004276,6.333336679,8.976845013,0.823779815,7.900143158,3.884388109,2.704027386,9.605894691,9.673526748,20.26688031,3.780610935,1.197744563
'99,28.99499634,17.59695657,0.213081973,1.744558457,16.28681103,2.513859675,2.510673973,10.15039627,6.198684398,8.901466411,0.870943498,8.600784651,3.697703795,2.928979076,9.891330474,9.717780203,20.10571961,3.747766066,1.338101327
'00,26.97453501,17.68965697,0.222838921,1.788828844,16.78304541,2.648479977,2.534507272,10.09688327,6.12747794,9.001483618,0.88982752,9.693859002,3.887569288,3.132267246,10.16051714,10.57129954,20.4719331,3.812649312,1.153054813
'01,29.14565622,17.76953588,0.260007167,1.803426195,16.34188458,2.772929198,2.435359521,10.29144835,6.142043233,9.209793836,0.887330155,9.932834516,3.816221858,3.215754891,10.21075436,10.21505013,20.17500468,3.827658881,1.165725392
'02,28.20537955,17.95749921,0.290594073,1.767207182,16.75601646,2.974328335,2.317926681,10.10056008,6.005475326,8.930869498,0.903241998,9.695509699,3.822991614,3.050628479,10.2660241,9.90672781,19.44947847,3.834751351,1.044812939
'03,27.89114345,17.69202931,0.316465963,1.701508643,17.23421557,3.425411363,2.24682379,10.1358012,6.054152566,9.088047281,0.913962074,9.70113586,3.94835053,3.089739999,10.52336359,9.288363591,19.50870471,3.958502744,0.849592217
'04,27.03156411,18.14789789,0.326451487,1.775807036,16.82025619,3.951800629,2.219482757,9.947493985,6.027439546,9.040489079,0.962435743,10.08474618,3.962974325,3.131538963,10.64863317,9.508806086,19.60357288,4.092251662,0.812817998
'05,25.34315035,18.11785357,0.348273908,1.775721997,17.0566373,4.463473752,2.296301782,9.726877921,6.027601801,8.950152419,0.991399583,9.96335735,4.078950882,3.245877591,10.66654578,8.650271628,19.478026,4.196301213,0.870271068
'06,22.91623744,18.12067891,0.466112921,1.774909381,16.61192808,4.906034996,2.335444202,9.883407092,5.840804198,8.901697739,1.041839796,10.05279047,4.181009222,3.281664508,11.11565211,8.44510737,18.9576435,4.281006432,0.808687692
'07,21.34759078,18.50285198,0.519232293,1.84883594,17.37084027,5.302594688,2.417537743,9.525155674,5.669031385,8.62913807,1.129216789,10.30120222,4.235667944,2.713705328,11.1446289,8.344594941,19.05602695,4.39186678,0.796349846
