id,pop
AFG,0.200151071
ALB,1.939731563
DZA,3.591657418
AND,5.97340536
AGO,0.887380364
ATG,5.504663385
ARG,3.987234198
ARM,1.880246268
AUS,15.47551649
AUT,7.146637625
AZE,3.221402183
BHS,5.86046391
BHR,19.59297584
BGD,0.512837314
BRB,4.360870779
BLR,6.2540208
BEL,8.179711061
BLZ,1.775127848
BEN,0.688722324
BTN,1.829277992
BOL,2.000327663
BIH,6.781131607
BWA,3.64230522
BRA,2.041874199
BRN,16.64490862
BGR,5.854773434
BFA,0.216186485
BDI,0.05279463
CIV,0.395305384
CPV,1.140200528
KHM,0.686777895
CMR,0.341842908
CAN,15.49702527
CAF,0.070718706
TCD,0.069131598
CHL,4.624872245
CHN,7.405211347
COL,1.600650618
COM,0.312379103
COG,0.613992586
CRI,1.652184053
HRV,4.055928762
CUB,2.202300094
CYP,6.079400502
CZE,9.640704998
COD,0.026169263
DNK,5.761494164
DJI,0.510989933
DMA,2.513053919
DOM,2.363757648
ECU,2.3138123
EGY,2.502042142
SLV,1.060625411
GNQ,5.095625096
ERI,0.231696216
EST,12.103085
SWZ,0.959275668
ETH,0.149050931
FJI,2.150561976
FIN,8.04275205
FRA,4.619241205
GAB,2.175272204
GMB,0.249989913
GEO,2.538541691
DEU,8.558389812
GHA,0.541201382
GRC,6.08317505
GRD,2.691814193
GTM,1.113969273
GIN,0.251323233
GNB,0.165394728
GUY,3.13219265
HTI,0.299374738
HND,1.019032757
HUN,4.745506244
ISL,6.237224322
IND,1.799825446
IDN,2.178461553
IRN,7.693012599
IRQ,4.895195361
IRL,7.624325193
ISR,6.976403837
ITA,5.376374339
JAM,2.899634155
JPN,8.74225771
JOR,2.478595273
KAZ,12.06196914
KEN,0.358028408
KIR,0.690595812
KWT,21.62272431
KGZ,1.73973556
LAO,2.660908493
LVA,3.959165078
LBN,4.039707217
LSO,1.218975994
LBR,0.273917114
LBY,8.825249137
LIE,3.692177857
LTU,4.137005929
LUX,15.33020808
MDG,0.128320761
MWI,0.086533726
MYS,7.600220413
MDV,3.703674976
MLI,0.294583928
MLT,3.198316241
MHL,3.252756283
MRT,0.908407126
MUS,3.264040313
MEX,3.741477725
FSM,1.598011364
MDA,3.171832063
MNG,6.725098053
MNE,4.049968902
MAR,1.850726784
MOZ,0.225115201
MMR,0.605492803
NAM,1.735898378
NRU,6.555534744
NPL,0.428179218
NLD,8.772823734
NZL,6.572664572
NIC,0.805815233
NER,0.102037038
NGA,0.667110199
PRK,0.709208588
MKD,3.538239148
NOR,7.031361189
OMN,15.19212436
PAK,0.981820105
PLW,16.19116744
PAN,2.42765632
PNG,0.866804457
PRY,1.210453778
PER,1.69681923
PHL,1.33369096
POL,8.235472255
PRT,4.840612761
QAT,32.41563917
ROU,3.845132759
RUS,11.12661837
RWA,0.087790824
KNA,4.958236393
LCA,2.14415306
VCT,2.540604301
WSM,1.631587535
STP,0.663406498
SAU,15.26878053
SEN,0.621912357
SRB,6.521922194
SYC,6.407474008
SLE,0.133330736
SGP,8.399134832
SVK,6.058635474
SVN,6.774695332
SLB,0.566740598
SOM,0.04597479
ZAF,7.496644895
KOR,12.22459136
SSD,0.125729734
ESP,5.5203504
LKA,0.99815413
SDN,0.483235878
SUR,3.611192614
SWE,3.538009127
CHE,4.401991044
SYR,1.647087511
TJK,0.80541954
TZA,0.205634733
THA,3.714039204
TLS,0.504741813
TGO,0.286471389
TON,1.841103111
TTO,12.77844012
TUN,2.592258865
TUR,5.01541837
TKM,12.25964817
TUV,0.86918731
UGA,0.143462178
UKR,4.154180631
ARE,20.7974984
GBR,5.398708138
USA,15.24087458
URY,1.890244079
UZB,3.401191282
VUT,0.615016657
VEN,4.782754887
VNM,2.698805922
YEM,0.326681763
ZMB,0.446065443
ZWE,0.849792905
ASM,0
BMU,0
CYM,0
COK,0
GUF,0
FLK,0
PYF,0
GRL,0
GUM,0
MTQ,0
MSR,0
NCL,0
NIU,0
ABW,0
AIA,0
HKG,0
MNP,0
FRO,0
GIB,0
IMN,0
MAC,0
MCO,0
PSE,0
MYT,0
ALA,0
NFK,0
CCK,0
ATA,0
BVT,0
ATF,0
HMD,0
IOT,0
CXR,0
UMI,0
REU,0
PRI,0
TKL,0
VGB,0
VIR,0
WLF,0
GLP,0
ANT,0
PCN,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,0
VAT,0
SJM,0
MAF,0
BLM,0
GGY,0
JEY,0
SGS,0
TWN,0
